 Wavelength (nm) | Sum        | Al I (2.4e-02) | Al II (4.8e-01) | Al III (3.5e-04) | Ca I (8.5e-03) | Ca II (4.5e-01) | Ca III (4.6e-02) |
     368.42      | 1.385e+5   |                | 6.600e-7        | 7.445e-11        | 1.385e+5       | 1.140e-6        |                  |
     368.47      | 8.673e+4   |                | 2.590e-6        | 2.699e-10        | 8.673e+4       | 5.476e-6        |                  |
     368.52      | 5.241e+4   |                | 9.801e-6        | 9.432e-10        | 5.241e+4       | 2.535e-5        |                  |
     368.57      | 3.055e+4   |                | 3.576e-5        | 3.178e-9         | 3.055e+4       | 1.132e-4        |                  |
     368.62      | 1.717e+4   |                | 1.258e-4        | 1.033e-8         | 1.717e+4       | 4.874e-4        |                  |
     368.67      | 9.308e+3   |                | 4.267e-4        | 3.235e-8         | 9.308e+3       | 2.023e-3        |                  |
     368.72      | 4.865e+3   |                | 1.395e-3        | 9.771e-8         | 4.865e+3       | 8.098e-3        |                  |
     368.77      | 2.452e+3   |                | 4.400e-3        | 2.845e-7         | 2.452e+3       | 3.126e-2        |                  |
     368.82      | 1.191e+3   |                | 1.338e-2        | 7.990e-7         | 1.191e+3       | 1.163e-1        |                  |
     368.87      | 5.582e+2   |                | 3.922e-2        | 2.163e-6         | 5.577e+2       | 4.175e-1        |                  |
     368.92      | 2.533e+2   |                | 1.109e-1        | 5.646e-6         | 2.517e+2       | 1.445e+0        |                  |
     368.97      | 1.146e+2   |                | 3.022e-1        | 1.421e-5         | 1.095e+2       | 4.820e+0        |                  |
     369.02      | 6.223e+1   |                | 7.941e-1        | 3.448e-5         | 4.593e+1       | 1.551e+1        |                  |
     369.07      | 6.869e+1   |                | 2.012e+0        | 8.068e-5         | 1.856e+1       | 4.812e+1        |                  |
     369.12      | 1.561e+2   |                | 4.916e+0        | 1.820e-4         | 7.232e+0       | 1.439e+2        |                  |
     369.17      | 4.295e+2   |                | 1.158e+1        | 3.959e-4         | 2.715e+0       | 4.152e+2        |                  |
     369.22      | 1.182e+3   |                | 2.630e+1        | 8.302e-4         | 9.824e-1       | 1.155e+3        |                  |
     369.27      | 3.155e+3   |                | 5.759e+1        | 1.679e-3         | 3.426e-1       | 3.097e+3        |                  |
     369.32      | 8.132e+3   |                | 1.216e+2        | 3.273e-3         | 1.151e-1       | 8.010e+3        |                  |
     369.37      | 2.022e+4   |                | 2.476e+2        | 6.152e-3         | 3.730e-2       | 1.997e+4        |                  |
     369.42      | 4.851e+4   |                | 4.860e+2        | 1.115e-2         | 1.164e-2       | 4.803e+4        |                  |
     369.47      | 1.123e+5   |                | 9.200e+2        | 1.948e-2         | 3.502e-3       | 1.114e+5        |                  |
     369.52      | 2.506e+5   |                | 1.679e+3        | 3.283e-2         | 1.015e-3       | 2.489e+5        |                  |
     369.57      | 5.396e+5   |                | 2.954e+3        | 5.333e-2         | 2.837e-4       | 5.367e+5        |                  |
     369.62      | 1.121e+6   |                | 5.012e+3        | 8.352e-2         | 7.640e-5       | 1.116e+6        |                  |
     369.67      | 2.244e+6   |                | 8.200e+3        | 1.261e-1         | 1.983e-5       | 2.236e+6        |                  |
     369.72      | 4.334e+6   |                | 1.293e+4        | 1.837e-1         | 4.959e-6       | 4.321e+6        |                  |
     369.77      | 8.073e+6   |                | 1.967e+4        | 2.579e-1         | 1.195e-6       | 8.054e+6        |                  |
     369.82      | 1.450e+7   |                | 2.885e+4        | 3.490e-1         | 2.776e-7       | 1.447e+7        |                  |
     369.87      | 2.512e+7   |                | 4.079e+4        | 4.556e-1         | 6.214e-8       | 2.508e+7        |                  |
     369.92      | 4.195e+7   |                | 5.560e+4        | 5.733e-1         | 1.341e-8       | 4.190e+7        |                  |
     369.97      | 6.757e+7   |                | 7.309e+4        | 6.956e-1         | 2.787e-9       | 6.750e+7        |                  |
     370.02      | 1.050e+8   |                | 9.264e+4        | 8.137e-1         | 5.584e-10      | 1.049e+8        |                  |
     370.07      | 1.572e+8   |                | 1.132e+5        | 9.178e-1         |                | 1.571e+8        |                  |
     370.12      | 2.270e+8   |                | 1.334e+5        | 9.982e-1         |                | 2.269e+8        |                  |
     370.17      | 3.161e+8   |                | 1.515e+5        | 1.047e+0         |                | 3.160e+8        |                  |
     370.22      | 4.245e+8   |                | 1.660e+5        | 1.058e+0         |                | 4.243e+8        |                  |
     370.27      | 5.497e+8   |                | 1.753e+5        | 1.032e+0         |                | 5.495e+8        |                  |
     370.32      | 6.863e+8   |                | 1.786e+5        | 9.711e-1         |                | 6.861e+8        |                  |
     370.37      | 8.263e+8   |                | 1.753e+5        | 8.820e-1         |                | 8.261e+8        |                  |
     370.42      | 9.593e+8   |                | 1.660e+5        | 7.743e-1         |                | 9.591e+8        |                  |
     370.47      | 1.074e+9   |                | 1.515e+5        | 6.593e-1         |                | 1.074e+9        |                  |
     370.52      | 1.159e+9   |                | 1.334e+5        | 5.481e-1         |                | 1.159e+9        |                  |
     370.57      | 1.206e+9   |                | 1.132e+5        | 4.512e-1         |                | 1.206e+9        |                  |
     370.62      | 1.211e+9   |                | 9.264e+4        | 3.775e-1         |                | 1.211e+9        |                  |
     370.67      | 1.172e+9   |                | 7.309e+4        | 3.345e-1         |                | 1.172e+9        |                  |
     370.72      | 1.093e+9   |                | 5.560e+4        | 3.281e-1         |                | 1.093e+9        |                  |
     370.77      | 9.839e+8   |                | 4.079e+4        | 3.625e-1         |                | 9.839e+8        |                  |
     370.82      | 8.537e+8   |                | 2.885e+4        | 4.407e-1         |                | 8.536e+8        |                  |
     370.87      | 7.142e+8   |                | 1.967e+4        | 5.634e-1         |                | 7.142e+8        |                  |
     370.92      | 5.761e+8   |                | 1.293e+4        | 7.284e-1         |                | 5.761e+8        |                  |
     370.97      | 4.482e+8   |                | 8.200e+3        | 9.299e-1         |                | 4.482e+8        |                  |
     371.02      | 3.362e+8   |                | 5.012e+3        | 1.158e+0         |                | 3.362e+8        |                  |
     371.07      | 2.431e+8   |                | 2.954e+3        | 1.397e+0         |                | 2.431e+8        |                  |
     371.12      | 1.696e+8   |                | 1.679e+3        | 1.630e+0         |                | 1.696e+8        |                  |
     371.17      | 1.140e+8   |                | 9.200e+2        | 1.836e+0         |                | 1.140e+8        |                  |
     371.22      | 7.393e+7   |                | 4.860e+2        | 1.995e+0         |                | 7.393e+7        |                  |
     371.27      | 4.623e+7   |                | 2.476e+2        | 2.090e+0         |                | 4.623e+7        |                  |
     371.32      | 2.787e+7   |                | 1.216e+2        | 2.113e+0         |                | 2.787e+7        |                  |
     371.37      | 1.620e+7   |                | 5.759e+1        | 2.060e+0         |                | 1.620e+7        |                  |
     371.42      | 9.082e+6   |                | 2.630e+1        | 1.937e+0         |                | 9.082e+6        |                  |
     371.47      | 4.909e+6   |                | 1.158e+1        | 1.756e+0         |                | 4.909e+6        |                  |
     371.52      | 2.558e+6   |                | 4.916e+0        | 1.536e+0         |                | 2.558e+6        |                  |
     371.57      | 1.286e+6   |                | 2.012e+0        | 1.295e+0         |                | 1.286e+6        |                  |
     371.62      | 6.231e+5   |                | 7.941e-1        | 1.053e+0         |                | 6.231e+5        |                  |
     371.67      | 2.911e+5   |                | 3.022e-1        | 8.260e-1         |                | 2.911e+5        |                  |
     371.72      | 1.312e+5   |                | 1.110e-1        | 6.247e-1         |                | 1.312e+5        |                  |
     371.77      | 5.699e+4   |                | 3.962e-2        | 4.557e-1         |                | 5.699e+4        |                  |
     371.82      | 2.387e+4   |                | 1.463e-2        | 3.206e-1         |                | 2.387e+4        |                  |
     371.87      | 9.644e+3   |                | 8.190e-3        | 2.175e-1         |                | 9.644e+3        |                  |
     371.92      | 3.757e+3   |                | 1.247e-2        | 1.423e-1         |                | 3.757e+3        |                  |
     371.97      | 1.412e+3   |                | 3.164e-2        | 8.976e-2         |                | 1.412e+3        |                  |
     372.02      | 5.160e+2   |                | 8.503e-2        | 5.462e-2         |                | 5.158e+2        |                  |
     372.07      | 1.946e+2   |                | 2.229e-1        | 3.205e-2         |                | 1.943e+2        |                  |
     372.12      | 1.105e+2   |                | 5.641e-1        | 1.814e-2         |                | 1.099e+2        |                  |
     372.17      | 1.715e+2   |                | 1.378e+0        | 9.897e-3         |                | 1.701e+2        |                  |
     372.22      | 4.486e+2   |                | 3.247e+0        | 5.209e-3         |                | 4.453e+2        |                  |
     372.27      | 1.245e+3   |                | 7.384e+0        | 2.644e-3         |                | 1.238e+3        |                  |
     372.32      | 3.373e+3   |                | 1.620e+1        | 1.294e-3         |                | 3.357e+3        |                  |
     372.37      | 8.829e+3   |                | 3.429e+1        | 6.108e-4         |                | 8.795e+3        |                  |
     372.42      | 2.230e+4   |                | 7.003e+1        | 2.781e-4         |                | 2.223e+4        |                  |
     372.47      | 5.436e+4   |                | 1.380e+2        | 1.221e-4         |                | 5.422e+4        |                  |
     372.52      | 1.278e+5   |                | 2.624e+2        | 5.168e-5         |                | 1.276e+5        |                  |
     372.57      | 2.901e+5   |                | 4.816e+2        | 2.110e-5         | 2.649e-10      | 2.897e+5        |                  |
     372.62      | 6.354e+5   |                | 8.529e+2        | 8.309e-6         | 1.300e-9       | 6.345e+5        |                  |
     372.67      | 1.342e+6   |                | 1.458e+3        | 3.155e-6         | 6.157e-9       | 1.341e+6        |                  |
     372.72      | 2.737e+6   |                | 2.406e+3        | 1.155e-6         | 2.814e-8       | 2.734e+6        |                  |
     372.77      | 5.384e+6   |                | 3.834e+3        | 4.081e-7         | 1.245e-7       | 5.380e+6        |                  |
     372.82      | 1.022e+7   |                | 5.901e+3        | 1.390e-7         | 5.301e-7       | 1.021e+7        |                  |
     372.87      | 1.871e+7   |                | 8.776e+3        | 4.565e-8         | 2.179e-6       | 1.870e+7        |                  |
     372.92      | 3.306e+7   |                | 1.261e+4        | 1.446e-8         | 8.641e-6       | 3.305e+7        |                  |
     372.97      | 5.636e+7   |                | 1.754e+4        | 4.417e-9         | 3.308e-5       | 5.634e+7        |                  |
     373.02      | 9.271e+7   |                | 2.361e+4        | 1.301e-9         | 1.222e-4       | 9.268e+7        |                  |
     373.07      | 1.471e+8   |                | 3.079e+4        | 3.697e-10        | 4.358e-4       | 1.471e+8        |                  |
     373.12      | 2.253e+8   |                | 3.896e+4        | 1.013e-10        | 1.500e-3       | 2.252e+8        |                  |
     373.17      | 3.328e+8   |                | 4.791e+4        | 2.677e-11        | 4.982e-3       | 3.328e+8        |                  |
     373.22      | 4.744e+8   |                | 5.737e+4        | 6.821e-12        | 1.597e-2       | 4.743e+8        |                  |
     373.27      | 6.524e+8   |                | 6.702e+4        | 1.676e-12        | 4.944e-2       | 6.523e+8        |                  |
     373.32      | 8.657e+8   |                | 7.658e+4        | 3.972e-13        | 1.477e-1       | 8.656e+8        |                  |
